"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 20 19:19:48 UTC 2026","Mon Apr 20 19:19:48 UTC 2026","12","tests.reg_ci.book","test_book_index_list_ci","","","","test_query_index_list_basic","
        CI Regression Test: queryIndexList basic sanity for PR gate.

        Logic Flow: queryIndexList?bookId={bookId} (GET)

        Checks:
        1) Service Availability: Confirms the chapter index service is reachable and returns 200 OK.
        2) Response Structure: Validates 'data' object contains a 'list' of chapter entries.
        3) Content Integrity: Ensures chapters exist (len > 0) and each has a valid 'id' and 'indexName'.

    "
"passed","Mon Apr 20 19:19:49 UTC 2026","Mon Apr 20 19:19:49 UTC 2026","51","tests.regression.book","test_reg_detail_indexlist_consistency","","","","test_reg_detail_to_indexlist_bookid_consistent","
        Regression Test: Verify Foreign Key Integrity between Book Details and Chapter Index.

        Logic Flow: searchByPage → queryBookDetail → queryIndexList

        This test ensures the hierarchical data integrity:
        1. Dynamic Linking: Confirms that a valid book discovered via search has a retrievable detail page.
        2. Relational Consistency: Validates that every chapter/index entry returned by 'queryIndexList'
           belongs strictly to the requested 'bookId'.
        3. Child-Parent Mapping: Guarantees that the backend correctly filters content based on the parent ID.

    "
"passed","Mon Apr 20 19:19:48 UTC 2026","Mon Apr 20 19:19:48 UTC 2026","17","tests.contract.user","test_contract_login","","","","test_contract_login_response_schema","
        Test Case: Verify User Login Success Contract.

        Validation Logic:
        1. Global response format (ok=True, code=200).
        2. Authentication token presence and format in 'data' field.
        3. User profile metadata structure (matches LOGIN_RESPONSE_DATA_SCHEMA).
    "
"passed","Mon Apr 20 19:19:49 UTC 2026","Mon Apr 20 19:19:49 UTC 2026","11","tests.reg_ci.user","test_user_login_ci","","","","test_reg_ci_login_and_token_usable","
        CI Regression Test: Authentication Flow and Token Usability.

        Logic Flow: login (via session fixture) -> /user/userInfo (GET)

        Checks:
        1) Authentication: Verifies that valid credentials yield a usable token (handled by auth_token fixture).
        2) Identity Persistence: Validates that the 'userInfo' retrieved via the token
           correctly matches the logged-in user.

        Note: This test uses user_client fixture (auth already injected) instead of
        manually mutating plain_http headers, which would pollute fixture state
        for other tests in the same session.
    "
"passed","Mon Apr 20 19:19:48 UTC 2026","Mon Apr 20 19:19:48 UTC 2026","28","tests.contract.book","test_contract_book_index_list","","","","test_contract_query_index_list_schema","
        Test Case: Verify Book Chapter Index Pagination & Contract.

        Validation Logic:
        Ensures that for a given book, the system correctly returns a paginated list
        of chapters (TOC). This is critical for the reader's navigation flow.
    "
"passed","Mon Apr 20 19:19:50 UTC 2026","Mon Apr 20 19:19:50 UTC 2026","9","tests.regression.user","test_reg_login_invalid","","","","test_reg_login_invalid_password_should_fail","
        CI Regression Test: Handle Login with invalid credentials.

        Logic Flow: /user/login (POST) with incorrect password

        Checks:
        1) Service Resilience: Confirms the server does not crash (HTTP < 500) on invalid input.
        2) Error Handling: Validates that 'ok' is false and the business 'code' is not 200.
        3) Security: Ensures that incorrect passwords do not grant access to the system.

    "
"passed","Mon Apr 20 19:19:48 UTC 2026","Mon Apr 20 19:19:48 UTC 2026","24","tests.contract.book","test_contract_search","","","","test_contract_search_by_page_schema","
        Test Case: Verify Book Search Pagination Contract.

        Validation Logic:
        1. Global response format (standard wrapper).
        2. Pagination metadata (pageNum, pageSize, total, etc.).
        3. Business entity data within the list (BOOK_ITEM_SCHEMA).
    "
"passed","Mon Apr 20 19:19:48 UTC 2026","Mon Apr 20 19:19:48 UTC 2026","11","tests.reg_ci.book","test_book_category_ci","","","","test_reg_ci_list_book_category_min_contract","
        CI Regression Test: listBookCategory basic sanity for PR gate.

        Logic Flow: listBookCategory (GET)

        Checks:
        1) Application success: ok=true and code=200
        2) Data shape: 'data' is a non-empty list
        3) Minimal item sanity: first item has 'id' and non-empty 'name'
    "
"passed","Mon Apr 20 19:19:48 UTC 2026","Mon Apr 20 19:19:49 UTC 2026","112","tests.reg_ci.user","test_user_bookshelf_ci","","","","test_reg_ci_bookshelf_minimal_flow","
        CI Regression Test: Bookshelf lifecycle state machine.

        Logic Flow: Add -> Verify (True) -> Remove -> Verify (False)

        Checks:
        1) State Persistence: Verifies the backend correctly tracks book-to-user mapping.
        2) Boolean Consistency: Confirms 'isInShelf' flips precisely according to user actions.
        3) Resilient Cleanup: Uses try-finally to ensure environment neutrality
           post-execution, regardless of test outcome.

        Note: Uses user_client fixture (auth already injected) instead of
        manually mutating plain_http headers, which would pollute fixture state.
    "
"skipped","Mon Apr 20 19:19:49 UTC 2026","Mon Apr 20 19:19:49 UTC 2026","10","tests.regression.book","test_reg_queryBookDetail_negative","","","","test_reg_queryBookDetail_invalid_bookId_should_be_rejected[abc]","

        Regression Test: Verify Input Validation and Rejection for Malformed Data.

        Logic Flow: queryBookDetail/{invalid_id} (Parametrized with -1, ""abc"")

    "
